"name","max_players","min_players","min_age","playing_time","year_published","Category-1","Category-2","Category-3","Expansion_available","Mechanic-1","Mechanic-2","Mechanic-3","Publisher-1","Publisher-2","Publisher-3","average_rating"
"Deutschlandreise","6","2","9","45","1962","Travel",,,"No","Pick-up and Deliver","Point to Point Movement","Roll / Spin and Move","Otto Maier Verlag","Ravensburger Spieleverlag GmbH",,"4.3"
"Devil's Den","2","2","12","360","1980","American Civil War","Wargame",,"No","Hex-and-Counter",,,"Avalon Hill","Ophiel Enterprise Inc.","OSG (Operational Studies Group)","6.6"
"Devil's Horsemen","2","2","12","240","2004","Medieval","Wargame",,"Yes","Hex-and-Counter",,,"GMT Games",,,"7.3"
"Di Renjie","6","2","10","30","2012","Bluffing","Card Game","Deduction","No","Hand Management","Set Collection",,"Sunrise Tornado Game Studio",,,"6.1"
"Diabolo","5","3","8","30","2006","Bluffing","Card Game",,"No","Hand Management",,,"AMIGO Spiel + Freizeit GmbH","Gigamic","Kikigagne?","5.5"
"Diamant","8","3","8","30","2005","Adventure","Bluffing",,"No","Press Your Luck","Simultaneous Action Selection",,"Devir","IELLO","Lautapelit.fi","6.7"
"Diamonds","6","2","8","30","2014","Card Game",,,"Yes","Hand Management","Trick-taking",,"Broadway Toys LTD","Stronghold Games",,"7"
"Diamonds Club","4","2","10","75","2008","Economic","Industry / Manufacturing",,"No","Set Collection","Worker Placement",,"Ravensburger Spieleverlag GmbH",,,"7.1"
"Diary of a Wimpy Kid: Cheese Touch","6","3","8","40","2010","Bluffing","Children's Game","Dice","No","Betting/Wagering","Dice Rolling","Roll / Spin and Move","Crown & Andrews Ltd.","KOSMOS","Lisciani Giochi","4.8"
"Dice Brewing","4","2","12","45","2014","Dice",,,"Yes","Card Drafting","Dice Rolling","Set Collection","A-games (Board Game)","Board&Dice","StuntKite Publishing","6.3"
"Dice Devils","6","3","8","30","2013","Dice",,,"No","Auction/Bidding","Dice Rolling","Set Collection","KOSMOS",,,"5.1"
"Dice Drivin'","5","2","6","30","2016","Dice","Racing",,"No","Dice Rolling","Grid Movement","Variable Player Powers","Golden Games","Vorpalia Games",,"7"
"Dice Run","6","2","10","30","2002","Dice","Racing",,"No","Dice Rolling","Hand Management",,"KaleidosGames","Kidultgame",,"5.9"
"Dice Town","5","2","8","60","2009","American West","Dice",,"Yes","Dice Rolling","Set Collection","Simultaneous Action Selection","Matagot","Asmodee","Asterion Press","6.9"
"DICEcapades","6","2","12","30","2007","Action / Dexterity","Dice","Math","Yes","Dice Rolling","Paper-and-Pencil",,"AMIGO Spiel + Freizeit GmbH","Haywire Group",,"5"
"Diceland","2","2","10","30","2002","Abstract Strategy","Dice",,"No","Dice Rolling","Modular Board",,"Kidultgame",,,"5.7"
"Dicemaster: Cities of Doom","2","2","12","90","1996","Adventure","Collectible Components","Dice","Yes","Dice Rolling","Hand Management","Set Collection","Hobbygames Ltd.","Iron Crown Enterprises",,"5.7"
"Dicey Goblins","6","3","10","45","2016","Dice","Fantasy",,"Yes","Press Your Luck",,,"Renegade Game Studios",,,"6.7"
"Dicke Kartoffeln","6","2","12","120","1989","Economic","Farming",,"No","Commodity Speculation",,,"ABACUSSPIELE",,,"6.2"
"Die Brücke am Rio D'Oro","4","2","8","30","2011","Exploration",,,"No","Pick-up and Deliver","Roll / Spin and Move",,"AMIGO Spiel + Freizeit GmbH","Torre de Jogos (Games Tower)",,"5.6"
"Die Dolmengötter","5","2","10","30","2005","Abstract Strategy","Ancient",,"No","Area Control / Area Influence",,,"eggertspiele",,,"6.6"
"Die Drachenbändiger von Zavandor","6","2","6","30","2006","Card Game","Fighting",,"No","Simultaneous Action Selection",,,"Lookout Games",,,"5"
"Die Dracheninsel","6","3","10","60","2003","Adventure","Exploration","Fantasy","No","Area Movement","Co-operative Play","Line Drawing","AMIGO Spiel + Freizeit GmbH",,,"5.3"
"Die Erben von Hoax","8","3","12","45","1999","Bluffing","Deduction",,"No","Voting",,,"Spielzeit!",,,"6.1"
"Die Erbtante","5","3","10","30","1997","Card Game",,,"No","Auction/Bidding",,,"ABACUSSPIELE","Edition Perlhuhn (Göttinger Spiele)",,"5.2"
"Die Fugger","4","2","10","45","2003","Card Game","Economic","Medieval","No","Commodity Speculation",,,"Adlung-Spiele",,,"6.5"
"Die Glücksritter","6","3","8","60","1999","Bluffing","Medieval",,"No","Rock-Paper-Scissors","Simultaneous Action Selection",,"Schmidt Spiele",,,"5.8"
"Die Hanse","6","3","10","75","1993","Medieval","Nautical","Negotiation","No","Partnerships","Pick-up and Deliver",,"Laurin Verlag",,,"5.7"
"Die holde Isolde","5","2","8","30","2015","Medieval",,,"No","Card Drafting",,,"Schmidt Spiele",,,"6.7"
"Die Jagd nach dem Gral","8","2","0","60","2007","Deduction","Number",,"No","Pick-up and Deliver",,,"Argentum Verlag","Fortuna Games",,"5.4"
"Die Kette von Saba","7","3","8","60","1984","Economic",,,"No","Auction/Bidding","Tile Placement",,"Queen Games","Edition Perlhuhn (Göttinger Spiele)",,"5.4"
"Die Kutschfahrt zur Teufelsburg","10","3","12","30","2006","Bluffing","Card Game","Deduction","Yes","Hand Management",,,"Adlung-Spiele","GaGa Games","Schmidt Spiele","6.6"
"Die Legenden von Andor: Chada & Thorn","2","2","10","45","2015","Card Game","Fantasy",,"Yes","Co-operative Play","Deck / Pool Building",,"999 Games","Devir","Giochi Uniti","7"
"Die Legenden von Andor: Die letzte Hoffnung","4","2","10","90","2016","Adventure","Fantasy","Puzzle","Yes","Area Movement","Co-operative Play","Dice Rolling","KOSMOS",,,"8.2"
"Die Macher","5","3","14","240","1986","Economic","Negotiation","Political","No","Area Control / Area Influence","Auction/Bidding","Dice Rolling","Hans im Glück Verlags-GmbH","Moskito Spiele","Valley Games","7.7"
"Die Magier","3","3","10","60","1985","Fantasy",,,"No","Roll / Spin and Move","Set Collection",,"Dourios","Noris Spiele",,"5.7"
"Die Magier von Pangea","4","2","10","60","2001","Economic","Fantasy",,"No","Modular Board","Pick-up and Deliver","Set Collection","Queen Games",,,"6.2"
"Die Osterinsel","4","3","10","30","1994","Racing",,,"No","Card Drafting",,,"Blatz",,,"5.8"
"Die Pyramiden des Jaguar","2","2","10","45","2002","Card Game",,,"No","Card Drafting","Hand Management",,"999 Games","Kaissa Chess & Games","KOSMOS","6.1"
"Die Ritter von der Haselnuss","4","2","6","30","1996","Animals","Children's Game","Memory","No","Memory","Roll / Spin and Move",,"999 Games","Asmodee","Goldsieber Spiele","6"
"Die Säulen der Erde: das Kartenspiel","4","3","10","30","2010","Card Game","Medieval","Novel-based","No","Hand Management","Trick-taking",,"999 Games","Devir","Filosofia Éditions","6.2"
"Die Säulen von Venedig","6","2","10","45","2006","City Building",,,"No","Hand Management","Simultaneous Action Selection",,"Goldsieber Spiele",,,"6.6"
"Die Sieben Weisen","5","3","12","90","2002","Card Game","Negotiation",,"No","Auction/Bidding","Partnerships",,"alea","Ravensburger Spieleverlag GmbH",,"6"
"Die Siedler von Nürnberg","4","3","10","90","1999","Medieval","Negotiation",,"No","Dice Rolling","Hand Management","Memory","KOSMOS",,,"7"
"Die Weinhändler","5","3","10","45","2004","Card Game",,,"No","Auction/Bidding","Hand Management","Set Collection","AMIGO Spiel + Freizeit GmbH","Mayfair Games",,"6.2"
"Die Wiege der Renaissance","4","2","12","60","2007","Card Game","Renaissance",,"No","Partnerships",,,"DDD Verlag GmbH",,,"5.9"
"Dig Mars","4","2","8","30","2013","Economic","Science Fiction","Transportation","No","Action Point Allowance System","Grid Movement",,"Brain Games",,,"6.2"
"Dilluvia Project","4","2","12","120","2015","City Building","Science Fiction","Territory Building","No","Tile Placement","Worker Placement",,"Spielworxx",,,"7.4"
"Dingo's Dreams","4","2","8","30","2016","Animals","Fantasy","Puzzle","No","Modular Board","Route/Network Building","Tile Placement","Red Raven Games",,,"6.6"
"Dino","6","2","10","30","1987","Prehistoric",,,"No","Point to Point Movement","Set Collection",,"Edition Perlhuhn (Göttinger Spiele)","Fun Connection","Hexagames (I)","5.3"
"Dino Dude Ranch","5","2","8","40","2016","Children's Game","Prehistoric",,"Yes","Dice Rolling","Set Collection",,"Letiman Games",,,"7.6"
"Dino Hunt","4","2","8","60","1996","Card Game","Collectible Components","Prehistoric","No","Action Point Allowance System",,,"Pegasus Spiele","Steve Jackson Games",,"5.3"
"Dino Race","4","2","8","30","2014","Card Game","Racing",,"No","Hand Management","Take That",,"Ares Games","Devir","Heidelberger Spieleverlag","6.2"
"Diplomacy","7","2","12","360","1959","Bluffing","Negotiation","Political","Yes","Area Control / Area Influence","Area Movement","Player Elimination","Asmodee","Avalon Hill","Avalon Hill (Hasbro)","7.1"
"Dirigible Disaster","5","2","8","40","2013","Dice","Real-time",,"No","Co-operative Play","Dice Rolling",,"(Self-Published)","Letiman Games",,"7"
"Disaster Looms!","4","2","10","90","2012","Economic","Negotiation","Science Fiction","Yes","Area Control / Area Influence","Area Movement","Auction/Bidding","Break From Reality Games",,,"5.9"
"Disc Duelers","21","2","10","45","2013","Action / Dexterity","Fighting","Racing","Yes","Variable Player Powers",,,"Level 99 Games",,,"6.9"
"Discover India","5","2","8","45","2010","Travel",,,"No","Set Collection",,,"Queen Games",,,"5.4"
"Discoveries","4","2","14","60","2015","American West","Dice",,"No","Deck / Pool Building","Dice Rolling","Set Collection","Ludonaute","Asterion Press","REBEL.pl","7.2"
"Discovery","2","2","12","90","2002","Deduction","Exploration",,"No","Area Movement","Simulation",,"Alary Games","Tactic",,"5.9"
"Discretion","8","2","13","120","1978","City Building","Economic",,"No","Auction/Bidding",,,"Princeton International Enterprises",,,"6.7"
"Discworld: Ankh-Morpork","4","2","11","60","2011","City Building","Fantasy","Novel-based","No","Area Control / Area Influence","Dice Rolling","Hand Management","Devir","Esdevium","IELLO","7.2"
"Diskwars","8","2","10","90","1999","Collectible Components","Fantasy","Wargame","No","Action Point Allowance System","Variable Player Powers",,"AMIGO Spiel + Freizeit GmbH","Fantasy Flight Games","Tilsit","5.9"
"Diskwars: Legend of the Five Rings","6","2","12","45","2000","Collectible Components","Fantasy","Wargame","No","Variable Player Powers",,,"Fantasy Flight Games",,,"5.2"
"Disposable Heroes and Coffin For Seven Brothers","2","2","12","120","2004","Miniatures","Wargame","World War II","Yes","Dice Rolling",,,"Iron Ivan Games",,,"7.7"
"Dive! Diver! Die!","5","3","12","45","2010","Adventure","Dice","Nautical","No","Dice Rolling","Press Your Luck",,"Black Dove Games",,,"6.3"
"Divided Republic","4","2","16","180","2012","American Civil War","Civil War","Political","No","Area Control / Area Influence","Campaign / Battle Card Driven","Hand Management","Numbskull Games",,,"6.8"
"Dividends","12","2","12","30","2005","Economic",,,"No","Dice Rolling","Stock Holding",,"Fun Factory Games",,,"5.5"
"Divinare","4","2","13","30","2012","Bluffing","Card Game","Deduction","No","Card Drafting","Hand Management","Memory","Asmodee",,,"6.8"
"Divine Right","6","2","12","360","1979","Fantasy","Political","Wargame","No","Dice Rolling","Hex-and-Counter","Variable Phase Order","Right Stuf","TSR",,"7"
"Dixie","2","2","12","120","1976","Wargame",,,"No","Hex-and-Counter",,,"SPI (Simulations Publications"," Inc.)",,"4.4"
"Dixie: Bull Run","2","2","12","60","1994","American Civil War","Card Game","Collectible Components","No","Area Control / Area Influence","Area Movement","Dice Rolling","Columbia Games",,,"6.2"
"Dixie: Shiloh","2","2","12","60","1994","American Civil War","Card Game","Collectible Components","No","Area Control / Area Influence","Area Movement","Dice Rolling","Columbia Games",,,"6.5"
"Dixit","6","3","6","30","2008","Card Game","Humor","Party Game","Yes","Simultaneous Action Selection","Storytelling","Voting","ADC Blackfire Entertainment","Asmodee","Asterion Press","7.4"
"Dixit Odyssey","12","3","8","30","2011","Humor","Party Game",,"Yes","Partnerships","Simultaneous Action Selection","Storytelling","ADC Blackfire Entertainment","Asmodee","Asterion Press","7.5"
"Dixit: Journey","6","3","8","30","2012","Card Game","Humor","Party Game","Yes","Acting","Simultaneous Action Selection","Singing","ADC Blackfire Entertainment","Asmodee","Gém Klub Kft.","7.5"
"Do You Worship Cthulhu?","30","5","12","30","2006","Bluffing","Card Game","Horror","No","Acting","Voting",,"Toy Vault"," Inc.",,"5.8"
"Doctor Faust","2","2","12","45","1990","Fantasy","Renaissance",,"No","Action Point Allowance System",,,"Blatz","Edition Perlhuhn (Göttinger Spiele)","Schmidt Spiele","5.2"
"Dog","6","2","9","45","1997","Card Game","Racing",,"No","Partnerships",,,"(Unknown)","Brändi","Schmidt Spiele","6.4"
"Dog Eat Dog","6","2","12","90","1999","Economic","Environmental","Industry / Manufacturing","No","Auction/Bidding","Commodity Speculation","Roll / Spin and Move","QED Games",,,"5.3"
"Dog Royal","6","2","8","45","2012","Racing",,,"No","Hand Management","Partnerships",,"Lion Rampant Imports","Schmidt Spiele",,"6.6"
"Doge","4","3","12","45","2000","Bluffing","Political",,"No","Area Control / Area Influence","Auction/Bidding","Simultaneous Action Selection","Goldsieber Spiele","Rio Grande Games",,"6.5"
"Dogfight","4","2","10","45","1962","Aviation / Flight","Wargame","World War I","No","Hand Management","Roll / Spin and Move",,"Milton Bradley","Takara",,"6.3"
"DogFight WW1","2","2","8","30","2013","Aviation / Flight","Card Game","Fighting","No","Hand Management","Secret Unit Deployment",,"Devir","Edge Entertainment","Foxgames (Poland)","3.2"
"Dogs","4","2","10","60","2013","Animals",,,"No","Point to Point Movement","Set Collection","Worker Placement","(Self-Published)","MS Jogos",,"7.6"
"Dogs of War","5","3","14","75","2014","Abstract Strategy","Renaissance","Wargame","Yes","Partnerships","Worker Placement",,"Asmodee","CMON Limited","Edge Entertainment","7.6"
"Dokmus","4","2","10","40","2016","Abstract Strategy","Mythology","Territory Building","No","Area Control / Area Influence","Card Drafting","Grid Movement","Lautapelit.fi",,,"7.2"
"Dolce Vita","5","3","10","30","1999","Card Game",,,"No","Auction/Bidding",,,"Hans im Glück Verlags-GmbH",,,"6.2"
"Domaine","4","2","12","60","2003","Medieval","Territory Building",,"No","Area Enclosure","Hand Management","Modular Board","999 Games","Editrice Giochi","KOSMOS","7"
"Dominant Species","6","2","14","240","2010","Animals","Environmental","Prehistoric","No","Area Control / Area Influence","Card Drafting","Grid Movement","GMT Games","Asterion Press","Filosofia Éditions","7.9"
"Dominant Species: The Card Game","6","2","13","60","2012","Card Game","Prehistoric",,"Yes","Hand Management",,,"GMT Games",,,"6.1"
"Dominare","6","2","12","120","2012","Economic","Fantasy","Political","Yes","Action Point Allowance System","Area Control / Area Influence","Card Drafting","Alderac Entertainment Group (AEG)",,,"6.9"
"Domination","4","2","8","30","2005","Abstract Strategy",,,"No","Area Enclosure","Tile Placement",,"Patch Products","Tactic",,"5.1"
"Dominion","4","2","13","30","2008","Card Game","Medieval",,"Yes","Card Drafting","Deck / Pool Building","Hand Management","Rio Grande Games","999 Games","Albi","7.7"
"Dominion Big Box (English)","4","2","12","30","2010","Card Game","Fantasy","Medieval","No","Deck / Pool Building",,,"Rio Grande Games",,,"7.9"
"Dominion: Intrigue","4","2","13","30","2009","Card Game","Medieval",,"Yes","Card Drafting","Deck / Pool Building","Hand Management","Rio Grande Games","999 Games","Albi","7.8"
"Domus Domini","6","2","12","120","2015","Medieval",,,"No","Worker Placement",,,"franjos Spieleverlag",,,"6.6"
"Don","6","3","10","30","2001","Card Game","Mafia",,"No","Auction/Bidding","Set Collection",,"Queen Games","ABACUSSPIELE","Asmodee","6.2"
"Don Capollo","6","3","14","45","2013","Card Game","Mafia","Negotiation","No","Card Drafting","Set Collection",,"Devir",,,"6.8"
"Don Peperoni","5","3","8","45","2006","Bluffing","Humor","Mafia","No","Action Point Allowance System","Area Control / Area Influence","Area Movement","Pegasus Spiele",,,"4.8"
"Don't Mess with Cthulhu","6","4","10","30","2014","Bluffing","Card Game","Horror","Yes","Partnerships",,,"???????? (New Board Game Party)","IELLO","Indie Boards & Cards","7"
"Don't Turn Your Back","4","2","13","60","2015","Horror",,,"Yes","Area Control / Area Influence","Deck / Pool Building","Worker Placement","Evil Hat Productions",,,"7.3"
"Donau Front","2","2","12","300","1989","Modern Warfare","Wargame",,"No","Hex-and-Counter",,,"3W (World Wide Wargames)",,,"5.8"
"Doolittle & Waite","15","4","0","90","1986","Bluffing","Card Game","Negotiation","No","Auction/Bidding",,,"Inward Games",,,"6.2"
"Doom of the Eldar","2","2","12","120","1993","Science Fiction","Wargame",,"No","Hex-and-Counter",,,"Games Workshop Ltd.",,,"6.4"
"DOOM: The Board Game","5","2","14","180","2016","Fighting","Video Game Theme",,"No","Deck / Pool Building","Dice Rolling","Grid Movement","Asterion Press","Edge Entertainment","Fantasy Flight Games","8"
"Doom: The Boardgame","5","2","12","180","2004","Dice","Exploration","Fighting","Yes","Dice Rolling","Modular Board","Partnerships","Delta Vision Publishing","Devir","Edge Entertainment","6.9"
"Doomtown: Reloaded","4","2","12","30","2014","American West","Card Game","City Building","Yes","Area Control / Area Influence","Betting/Wagering","Hand Management","Alderac Entertainment Group (AEG)",,,"7.4"
"Doomtrooper","7","2","10","60","1994","Card Game","Collectible Components","Fighting","No","Action Point Allowance System","Hand Management","Variable Player Powers","999 Games","Casper","Descartes Editeur","5.5"
"Dorada","4","2","12","30","1988","Abstract Strategy","Children's Game",,"No","Roll / Spin and Move",,,"Ravensburger Spieleverlag GmbH",,,"6.2"
"Dorasure","5","2","10","30","2014","Adventure","Fantasy","Miniatures","Yes","Area Movement","Co-operative Play","Dice Rolling","Giant Hobby",,,"6.7"
"Dork Tower","6","2","12","60","2003","Card Game","Dice","Fantasy","No","Card Drafting","Dice Rolling","Point to Point Movement","Steve Jackson Games",,,"5.9"
"Dorn","6","2","10","90","2006","Adventure","Fantasy",,"Yes","Area Movement","Partnerships","Role Playing","Altar Games","Loris Games",,"6.9"
"Dos Rios","4","2","12","70","2004","Economic","Territory Building",,"No","Action Point Allowance System","Modular Board",,"KOSMOS","Mayfair Games",,"6.5"
"Dostihy a sázky","6","2","0","60","1983","Animals","Economic","Negotiation","No","Betting/Wagering","Roll / Spin and Move","Set Collection","Dino","Javoz",,"5.3"
"Double Crossing","6","2","0","60","1988","Economic","Trains",,"No","Pick-up and Deliver","Roll / Spin and Move",,"Lionel Trains",,,"5.5"
"Doubles Wild","4","2","8","30","2001","Abstract Strategy","Dice",,"No","Dice Rolling","Pattern Building","Pattern Recognition","Enginuity",,,"6"
"Down Fall","2","2","7","30","1970","Abstract Strategy","Maze","Memory","No","Memory",,,"Brio AB","Editrice Giochi","Golden","5.4"
"Down in Flames: Aces High","6","2","0","45","2008","Aviation / Flight","Card Game","Wargame","Yes","Campaign / Battle Card Driven","Hand Management",,"Dan Verssen Games (DVG)",,,"7"
"Down Under","4","2","0","30","2007","Abstract Strategy",,,"No","Tile Placement",,,"Bambus Spieleverlag",,,"5.7"
"Down with the King","6","2","12","120","1981","Card Game","Fantasy","Negotiation","No","Role Playing",,,"Avalon Hill","Verlag für Fantasy- und Science Fiction-Spiele",,"5.8"
"Downsize","6","2","10","40","2016","Card Game","Economic",,"Yes","Card Drafting","Hand Management",,"Braincrack Games",,,"6.8"
"Downtown","6","3","10","60","1996","City Building","Negotiation",,"No","Simultaneous Action Selection","Tile Placement","Voting","ABACUSSPIELE","Grünspan-Spiele",,"6.3"
"Downtown: Air War Over Hanoi, 1965-1972","2","2","14","240","2004","Aviation / Flight","Modern Warfare","Vietnam War","Yes","Chit-Pull System","Dice Rolling","Hex-and-Counter","GMT Games",,,"7.8"
"Dr. Jekyll & Mr. Hyde","4","3","10","60","1997","Bluffing","Card Game",,"No","Trick-taking",,,"Bambus Spieleverlag","Plenary Games",,"6.8"
"Dr. McNinja's Legendary Showdown","7","2","12","30","2014","Card Game","Comic Book / Strip","Fighting","No","Hand Management","Player Elimination","Take That","Killer Robot Games",,,"6.8"
"Dr. Seuss Green Eggs and Ham Game","4","2","4","30","1996","Children's Game","Novel-based",,"No","Roll / Spin and Move",,,"University Games",,,"4"
"Dr. Shark","6","2","8","45","2011","Action / Dexterity","Spies/Secret Agents",,"No","Area Movement","Set Collection",,"Hurrican",,,"6.3"
