"name","max_players","min_players","min_age","playing_time","year_published","Category-1","Category-2","Category-3","Expansion_available","Mechanic-1","Mechanic-2","Mechanic-3","Publisher-1","Publisher-2","Publisher-3","average_rating"
"Deadlands: The Battle for Slaughter Gulch","6","2","0","60","2009","Adventure","American West","Fighting","Yes","Area Movement","Dice Rolling","Secret Unit Deployment","Pinnacle Entertainment Group","Twilight Creations"," Inc.","5.9"
"Deadlands: The Great Rail Wars","6","2","10","120","1997","American West","Fantasy","Fighting","Yes","Dice Rolling","Paper-and-Pencil","Simulation","Pinnacle Entertainment Group",,,"6.7"
"Deadwood","5","2","13","60","2011","American West","City Building",,"No","Dice Rolling","Worker Placement",,"Dust Games","Edge Entertainment","Fantasy Flight Games","6.4"
"Deadwood Studios USA","8","2","12","60","1999","American West","Dice","Economic","Yes","Area Movement","Dice Rolling","Hand Management","Cheapass Games","Truant Spiele",,"5.9"
"Deadzone","4","2","12","60","2013","Miniatures","Science Fiction","Wargame","Yes","Action Point Allowance System","Dice Rolling","Grid Movement","Mantic Games",,,"7.5"
"Dealer's Choice","5","3","8","45","1972","Economic","Negotiation","Transportation","No","Auction/Bidding","Commodity Speculation",,"Miro Company","Parker Brothers",,"5.8"
"Death Wears White","9","9","16","300","2001","Party Game",,,"No","Storytelling",,,"Asmodee",,,"7.7"
"Deathride: Mars-la-Tour 1870","2","2","0","180","2008","Post-Napoleonic","Wargame",,"No","Area-Impulse","Hex-and-Counter",,"Against the Odds","LPS"," Inc.","7"
"Decline and Fall","4","4","12","120","1972","Ancient","Negotiation","Wargame","No","Hex-and-Counter","Variable Player Powers",,"Ariel","Wargames Research Group",,"6.6"
"Deep Sea Adventure","6","2","8","30","2014","Dice","Exploration","Nautical","No","Pick-up and Deliver","Press Your Luck","Roll / Spin and Move","Oink Games",,,"7.2"
"Deer in the Headlights Game","104","2","5","30","2012","Card Game",,,"No","Dice Rolling","Hand Management",,"Front Porch Classics",,,"4.7"
"DEER LORD!","12","4","12","90","2015","Bluffing","Card Game","Humor","Yes","Acting","Storytelling","Voting","(Self-Published)",,,"6.4"
