Title,Title_Romaji,Title_English,Title_Japanese,Season,SeasonYear,Genre1,Genre2,Genre3,Demographic,Studio,Title_Clean,Circulation_Num,Circulation_PreAnime
Brothers Conflict,BROTHERS CONFLICT,Brothers Conflict,BROTHERS CONFLICT,SUMMER,2013,Romance,,,Shoujo,Brain's Base,Brothers Conflict,,
Bungou Stray Dogs,Bungou Stray Dogs,Bungo Stray Dogs,??????????,SPRING,2016,Action,Comedy,Mystery,Seinen,bones,Bungou Stray Dogs,,
Bus Gamer,BUS GAMER, Bus Gamer,BUS GAMER,WINTER,2008,Action,,,Shoujo,Anpro,Bus Gamer,,
Busou Renkin,Busou Renkin,Arms Alchemy,????,FALL,2006,Action,Comedy,Fantasy,Shounen,Xebec,Busou Renkin,,
Buzzer Beater,BUZZER BEATER, Buzzer Beater,BUZZER BEATER,WINTER,2005,Action,Sci-Fi,Sports,Shounen,,Buzzer Beater,,
Canaan,Canaan, Canaan,???,SUMMER,2009,Action,Sci-Fi,Supernatural,,P.A.WORKS,Canaan,,
Candy Candy,Candy Candy,Candy Candy,???????????,FALL,1976,Drama,Slice of Life,,Shoujo,Toei Animation,Candy Candy,,
Canvas 2: Nijiiro no Sketch,Canvas 2: Niji-iro no Sketch,Canvas 2: Rainbow Colored Sketch,Canvas2 ~???????~,FALL,2005,Comedy,Drama,Romance,,,Canvas 2: Nijiiro no Sketch,,
Capeta,capeta, Capeta,capeta,FALL,2005,Drama,Sports,,Shounen,Studio Comet,Capeta,,
Captain Tsubasa,Captain Tsubasa, Captain Tsubasa (localized as Flash Kicker in some regions),??????,FALL,1983,Action,Sports,,Shounen,Tsuchida Productions,Captain Tsubasa,9024,
Cardcaptor Sakura,Cardcaptor Sakura,Cardcaptor Sakura,???????????,SPRING,1998,Comedy,Drama,Fantasy,Shoujo,MADHOUSE,Cardcaptor Sakura,22162,
Cardfight!! Vanguard,Cardfight!! Vanguard (2018),CARDFIGHT!! VANGUARD,???????!! ?????? (2018),SPRING,2018,Action,Adventure,Fantasy,,OLM,Cardfight!! Vanguard,,
Carole & Tuesday,Carole & Tuesday,Carole & Tuesday,????&??????,SPRING,2019,Drama,Music,Sci-Fi,,bones,Carole & Tuesday,,
Cat's Eye,Cat's?Eye,Cat's Eye,???????,SUMMER,1983,Action,Adventure,Comedy,Shounen,Tokyo Movie Shinsha,Cat's Eye,20178,
Centaur no Nayami,Centaur no Nayami,A Centaur's Life,????????,SUMMER,2017,Comedy,Fantasy,Slice of Life,Seinen,Haoliners Animation,Centaur no Nayami,,
Chainsaw Man,Chainsaw Man,Chainsaw Man,???????,FALL,2022,Action,Drama,Horror,Shounen,MAPPA,Chainsaw Man,3587,13000000
Charlotte,Charlotte, Charlotte,Charlotte(??????),SUMMER,2015,Comedy,Drama,Romance,,P.A.WORKS,Charlotte,,
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,Drug Store in Another World - The Slow Life of a Cheat Pharmacist,????????????~??????????????~,SUMMER,2021,Comedy,Fantasy,Slice of Life,,EMT Squared,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,,
Chi's Sweet Home,Chi's Sweet Home, Chi's Sweet Home,??????????,SPRING,2008,Comedy,Slice of Life,,,MADHOUSE,Chi's Sweet Home,,
Chibi Maruko-chan,Chibi Maruko-chan (1995),Chibi Maruko-chan,????????,SUMMER,1995,Comedy,Slice of Life,,,,Chibi Maruko-chan,3588,
Chicchana Yukitsukai Sugar,Chicchana Yukitsukai Sugar,A Little Snow Fairy Sugar,????????????,FALL,2001,Comedy,Fantasy,,,J.C.STAFF,Chicchana Yukitsukai Sugar,,
Chihayafuru,Chihayafuru,Chihayafuru,?????,FALL,2011,Drama,Romance,Slice of Life,Josei,MADHOUSE,Chihayafuru,29120,
Chinpui,Chinpui,Chinpui,????,WINTER,1989,Comedy,,,,,Chinpui,,
Chio-chan no Tsuugakuro,Chio-chan no Tsuugakuro,Chio's School Road,?????????,SUMMER,2018,Comedy,Slice of Life,,Seinen,diomedéa,Chio-chan no Tsuugakuro,,
Chitose Get You!!,Chitose Get You!!,Chitose Get You!,???????!!,SUMMER,2012,Comedy,Romance,Slice of Life,Seinen,SILVER LINK.,Chitose Get You!!,,
Chocotto Sister,Chocotto Sister, Chocotto Sister,?????Sister,SUMMER,2006,Comedy,Drama,Romance,Seinen,Nomad,Chocotto Sister,,
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,High School Prodigies Have It Easy Even In Another World,????????????????????????!,FALL,2019,Action,Adventure,Drama,,project No.9,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,,
Chrno Crusade,Chrno Crusade,Chrono Crusade,????????,FALL,2003,Action,Romance,Supernatural,Shounen,GONZO,Chrno Crusade,,
Chrome Shelled Regios,Koukaku no Regios,Chrome Shelled Regios,???????,WINTER,2009,Action,Adventure,Fantasy,,ZEXCS,Chrome Shelled Regios,,
Chuuka Ichiban!,Chuuka Ichiban!,Cooking Master Boy,????!,SPRING,1997,Action,Adventure,Drama,Shounen,Nippon Animation,Chuuka Ichiban!,,
Chuukan Kanriroku Tonegawa,Chuukan Kanriroku Tonegawa,Mr. Tonegawa: Middle Management Blues,?????????,SUMMER,2018,Comedy,Drama,Psychological,Seinen,MADHOUSE,Chuukan Kanriroku Tonegawa,,
Chuunibyou demo Koi ga Shitai!,Chuunibyou demo Koi ga Shitai!,"Love, Chunibyo & Other Delusions",??????????!,FALL,2012,Comedy,Drama,Romance,Shounen,Kyoto Animation,Chuunibyou demo Koi ga Shitai!,,
Cinderella Boy,Cinderella Boy, Cinderella Boy,????????,SUMMER,2003,Action,Adventure,Comedy,,,Cinderella Boy,,
City Hunter,City Hunter, City Hunter,????????,SPRING,1987,Action,Comedy,Mystery,Shounen,Sunrise,City Hunter,5051,
Clamp Gakuen Tanteidan,CLAMP Gakuen Tanteidan,CLAMP School Detectives,CLAMP?????,SPRING,1997,Action,Comedy,Mystery,Shoujo,Studio Pierrot,Clamp Gakuen Tanteidan,,
Clannad,CLANNAD,Clannad,CLANNAD -????-,FALL,2007,Comedy,Drama,Romance,,Kyoto Animation,Clannad,,
Claymore,CLAYMORE,Claymore,CLAYMORE,SPRING,2007,Action,Adventure,Fantasy,Shounen,MADHOUSE,Claymore,,
